Place Name	Latitude	Longitude
Chaozhou	23.68003908	116.630028
Dongguan	23.0488889	113.7447222
Foshan	23.03005292	113.1200097
Guangzhou	23.1449813	113.3250101
Heyuan	23.7304236	114.6800179
Huizhou	23.07997235	114.3999833
Jiangmen	22.58039044	113.0800122
Jieyang	22.9348	116.37143
Lianxian	24.78152224	112.3825354
Maoming	21.92040489	110.8700179
Meizhou	24.30049217	116.1199816
Qingyuan	23.7003996	113.0300927
Shantou	23.37000633	116.6700256
Shanwei	22.78199	115.3475
Shaoguan	24.79997072	113.5799816
Shenzhen	22.55237051	114.1221231
Yunfu	22.915094	112.044491
Yangjiang	21.85040916	111.9700024
Zhanjiang	21.19998374	110.3800219
Zhaoqing	23.05041343	112.4500248
Zhuhai	22.2769444	113.5677778
Zhongshan	22.516998	113.392723
